Date,Open,High,Low,Close,Volume
10/15/2024,"477,620","478,000","477,620","478,000","1,000"
10/11/2024,"476,320","480,000","430,000","476,320","1"
10/10/2024,"476,320","479,500","430,000","476,320","3"
10/09/2024,"476,600","476,800","476,140","476,320","1,169"
10/08/2024,"474,920","475,560","474,920","475,120","2,554"
10/07/2024,"471,600","475,420","471,600","474,480","3,238"
10/04/2024,"469,400","469,400","469,400","469,400","279"
10/03/2024,"479,980","479,980","472,000","472,000","2,108"
10/02/2024,"474,940","474,940","472,880","472,980","14,414"
10/01/2024,"475,060","476,300","474,860","476,300","827"
09/30/2024,"472,220","472,920","472,220","472,920","858"
09/27/2024,"470,100","470,100","470,100","470,100","467"
09/26/2024,"471,000","471,000","469,580","470,280","8,234"
09/24/2024,"466,000","469,600","465,440","469,600","4,423"
09/23/2024,"460,020","467,300","460,020","467,300","383"
09/20/2024,"466,600","466,760","466,600","466,760","121"
09/19/2024,"476,420","476,420","470,000","476,420","11"
09/18/2024,"476,420","479,000","470,680","476,420","4"
09/17/2024,"476,420","476,420","476,420","476,420","87"
09/16/2024,"476,480","476,700","476,400","476,400","2,380"
09/13/2024,"468,820","470,180","468,820","470,180","2,271"
09/12/2024,"476,000","478,680","475,620","475,740","3,827"
09/11/2024,"479,440","479,440","478,400","478,400","872"
09/10/2024,"478,020","482,560","478,020","479,800","4,190"
09/09/2024,"474,900","474,900","474,820","474,820","1,285"
